batchNum,subjectIDCum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
4,1257,301,2,vertical,vertical,null,null,null,2761.24,null,null,null,null,null,below,IBstimulus_absent,null,null,6492.565
4,1257,301,3,horizontal,horizontal,yes,blue,reportColor,2393.055,3249.82,5984.685,4384.625,3107.23,4849.205,below,IBstimulus_present,red,right,28321.03
4,1258,302,0,horizontal,horizontal,null,null,null,5001.61,null,null,null,null,null,above,IBstimulus_absent,null,null,11843.19
4,1258,302,1,horizontal,horizontal,null,null,null,3760.685,null,null,null,null,null,below,IBstimulus_absent,null,null,15740.035
4,1258,302,2,vertical,vertical,null,null,null,3918.125,null,null,null,null,null,above,IBstimulus_absent,null,null,7822.38
4,1258,302,3,vertical,vertical,yes,red,reportColor,5556.02,7792.645,11134.565,23527.86,6071.485,11527.85,above,IBstimulus_present,red,left,69146.575
4,1259,303,0,horizontal,horizontal,null,null,null,3059.975,null,null,null,null,null,below,IBstimulus_absent,null,null,15340.375
4,1259,303,1,horizontal,horizontal,null,null,null,1544.815,null,null,null,null,null,above,IBstimulus_absent,null,null,8590.17
4,1259,303,2,horizontal,horizontal,null,null,null,1364.28,null,null,null,null,null,above,IBstimulus_absent,null,null,5188.425
4,1259,303,3,vertical,vertical,no,blue,reportColor,1884.13,13919.005,7850.635,5309.82,3507.805,6198.8,above,IBstimulus_absent,null,null,42205.19
4,1260,304,0,horizontal,horizontal,null,null,null,5948.855,null,null,null,null,null,above,IBstimulus_absent,null,null,11021.36
4,1260,304,1,vertical,vertical,null,null,null,2703.65,null,null,null,null,null,above,IBstimulus_absent,null,null,9317.2
4,1260,304,2,horizontal,horizontal,null,null,null,2428.38,null,null,null,null,null,below,IBstimulus_absent,null,null,6430.76
4,1260,304,3,horizontal,horizontal,no,blue,reportColor,2607.155,4296.13,5391.46,3431.97,3815.41,4863.94,above,IBstimulus_absent,null,null,27782.185
4,1261,305,0,horizontal,vertical,null,null,null,2695.93,null,null,null,null,null,above,IBstimulus_absent,null,null,7703.3
4,1261,305,1,horizontal,horizontal,null,null,null,2416.285,null,null,null,null,null,below,IBstimulus_absent,null,null,6417.58
4,1261,305,2,horizontal,horizontal,null,null,null,1680.815,null,null,null,null,null,below,IBstimulus_absent,null,null,5213.16
4,1261,305,3,horizontal,horizontal,yes,blue,reportColor,2315.015,3809.02,2442.225,4323.71,2415.79,4198.94,below,IBstimulus_present,blue,left,22997.785
4,1262,306,0,horizontal,horizontal,null,null,null,4758.05,null,null,null,null,null,above,IBstimulus_absent,null,null,10904.5
4,1262,306,1,horizontal,horizontal,null,null,null,5840.64,null,null,null,null,null,above,IBstimulus_absent,null,null,11403.285
4,1262,306,2,vertical,vertical,null,null,null,2636.625,null,null,null,null,null,below,IBstimulus_absent,null,null,9087.315
4,1262,306,3,vertical,vertical,no,red,reportColor,3325.21,4263.395,8303.435,6151.77,4207.32,5632.41,below,IBstimulus_absent,null,null,37476.195
4,1263,307,0,vertical,vertical,null,null,null,5610.72,null,null,null,null,null,below,IBstimulus_absent,null,null,16901.495
4,1263,307,1,horizontal,horizontal,null,null,null,2198.8,null,null,null,null,null,below,IBstimulus_absent,null,null,6508.94
4,1263,307,2,vertical,vertical,null,null,null,3757.225,null,null,null,null,null,above,IBstimulus_absent,null,null,7261.79
4,1263,307,3,vertical,vertical,no,blue,reportColor,2104.175,5983.73,7248.12,9351.635,4207.555,5479.815,below,IBstimulus_absent,null,null,69279.84
4,1264,308,0,horizontal,horizontal,null,null,null,2397.435,null,null,null,null,null,above,IBstimulus_absent,null,null,9355.34
4,1264,308,1,vertical,vertical,null,null,null,1126.76,null,null,null,null,null,below,IBstimulus_absent,null,null,4944.425
4,1264,308,2,vertical,vertical,null,null,null,1527.35,null,null,null,null,null,above,IBstimulus_absent,null,null,7580.97
